id,primary_code,secondary_code,third_code,combo_code,created_at,updated_at
199,E139,M1460,,E08610,,
200,M3300,M3300,,M3300,,
201,E139,N189,,E0822,,
202,E119,N289,,E0821,,
203,F1320,F13232,,F13232,,
204,F1112,F11922,,F11922,,
205,E139,K056,,E09630,,
206,E109,I739,,E1059,,
207,F10929,F29,,F10959,,
208,F1010,F22,,F10150,,
209,F1020,F22,,F10250,,
210,F1310,F22,,F13150,,
211,F1020,F22,,F10251,,
212,F10929,F22,,F10951,,
213,F1220,F22,,F12251,,
214,J9600,R0689,,J9612,,
215,K7010,R18,,K7011,,
216,N3090,R319,,n3001,,
217,F1020,R410,,F10231,,
218,F01B0,R451,,F01B11,,
219,F0390,R454,,F03911,,
220,E139,R739,,E0865,,
221,E109,N259,,E1029,,
222,E0590,E032,,E032,,
223,F0390,F29,,F03C2,,
224,F03A0,F03918,,F03A18,,
225,F03C0,F03918,,F03C18,,
226,F028,G47,,F02A18,,
227,Q070,Q059,,Q0701,,
228,D571,D5702,,D5702,,
229,N119,M329,,M3215,,
230,A419,T83511A,,T83511,,
231,E0590,E049,,E0511,,
232,A419,A492,,A413,,
233,A419,B9683,,A4154,,
234,D5740,D5703,,D57413,,
235,D571,D57211,,D5701,,
236,E039,E049,,E0500,,
237,E089,E0840,,E0944,,
238,E089,E0842,,E0942,,
239,E089,E0843,,E0943,,
240,E109,E109,,E1059,,
241,E089,E1121,,E0821,,
242,E119,E1129,,E0829,,
243,E109,E1129,,E1029,,
244,E089,E1129,,E0929,,
245,E119,E11319,,E08319,,
246,E119,E113211,,E083211,,
247,E089,E113211,,E083212,,
248,E139,E113212,,E133212,,
249,E119,E113212,,E133212,,
250,E089,E113212,,E093212,,
251,E119,E113213,,E083213,,
252,E119,E113219,,E133219,,
253,E119,E113291,,E133291,,
254,E089,E113291,,E093291,,
255,E089,E113292,,E083292,,
256,E119,E113293,,E093292,,
257,E119,E113299,,E083312,,
258,E109,E113311,,E103391,,
259,E119,E113311,,E083391,,
260,E089,E113311,,E093311,,
261,E089,E113311,,E083392,,
262,E139,E113311,,E133299,,
263,E119,E113312,,E083312,,
264,E119,E113312,,E093412,,
265,E089,E113312,,E093312,,
266,E109,E113312,,E103312,,
267,E089,E113313,,E093313,,
268,E089,E113313,,E083393,,
269,E119,E113313,,E083313,,
270,E109,E113319,,E103319,,
271,E089,E113319,,E083319,,
272,E089,E113319,,E083399,,
273,E119,E113319,,E083319,,
274,E119,E113319,,E133319,,
275,E139,E113391,,E133391,,
276,E119,E113391,,E133391,,
277,E109,E113391,,E103391,,
278,E089,E113392,,E093392,,
279,E109,E113393,,E103393,,
280,E119,E113393,,E133399,,
281,E119,E113399,,E113393,,
282,E139,E113511,,E133511,,
283,E089,E113511,,E083511,,
284,E119,E113511,,E133511,,
285,E089,E113512,,E083512,,
286,E089,E113512,,E093512,,
287,E109,E113513,,E103513,,
288,E089,E113519,,E083519,,
289,E119,E113519,,E133519,,
290,E119,E113521,,E133521,,
291,E089,E113521,,E093521,,
292,E119,E113522,,E113532,,
293,E089,E113522,,E083522,,
294,E119,E113522,,E093522,,
295,E109,E113529,,E103529,,
296,E119,E113529,,E083529,,
297,E089,E113531,,E093531,,
298,E139,E113531,,E133529,,
299,E089,E113532,,E083532,,
300,E109,E113532,,E103532,,
301,E089,E113532,,E093532,,
302,E109,E113533,,E103533,,
303,E089,E113533,,E093533,,
304,E089,E113533,,E083533,,
305,E109,E113539,,E103539,,
306,E119,E113539,,E133539,,
307,E139,E113541,,E133541,,
308,E089,E113541,,E083541,,
309,E119,E113541,,E133541,,
310,E089,E113542,,E093542,,
311,E109,E113543,,E103543,,
312,E089,E113543,,E083543,,
313,E089,E113549,,E083549,,
314,E119,E113549,,E133549,,
315,E109,E113591,,e103411,,
316,E089,E113591,,E093591,,
317,E119,E113592,,E113212,,
318,E089,E113592,,E083592,,
319,E089,E113592,,E093592,,
320,E109,E113593,,E103593,,
321,E089,E113593,,E093593,,
322,E089,E113593,,E083593,,
323,E119,E113593,,E133593,,
324,E139,E113599,,E133599,,
325,E109,E113599,,E103599,,
326,E119,E113599,,E133599,,
327,E119,E1141,,E0841,,
328,E139,E1141,,E1341,,
329,E119,E1144,,E1344,,
330,E139,E1149,,E1349,,
331,E109,E1149,,E1049,,
332,E089,E1149,,E0839,,
333,E119,E1149,,E0939,,
334,E119,E1149,,E0949,,
335,E119,E1149,,E1349,,
336,E089,E11618,,E09618,,
337,E119,E119,,E1137X1,,
338,I10,E139,,I152,,
339,E109,E15,,E10641,,
340,E119,E15,,E09641,,
341,E119,E15,,E13641,,
342,E119,E7870,,E1100,,
343,E083392,E870,,E0800,,
344,E089,E870,,E0901,,
345,E119,E870,,E0901,,
346,E119,E870,,E1301,,
347,F1090,F0390,,F1097,,
348,F0150,F079,,F0151,,
349,F1010,F3130,,F1014,,
350,F1020,F3130,,F1024,,
351,F0150,F32A,,F01B3,,
352,F30B0,F419,,F03B4,,
353,F01A0,F419,,F01A4,,
354,F12129,F419,,F12180,,
355,G40909,G20,,G2111,,
356,E119,G29,,E1142,,
357,E139,G629,,E1341,,
358,E089,G629,,E0843,,
359,E109,G629,,E1041,,
360,E119,G629,,E1122,,
361,R0390,G629,,M0550,,
362,I607,G8190,,I69051,,
363,I607,G8190,,I69052,,
364,I607,G8190,,I69059,,
365,I639,G8320,,I69333,,
366,I639,G9190,,I69353,,
367,I639,G9190,,I69359,,
368,I639,G9190,,I69351,,
369,E089,H3581,,E0937X9,,
370,E089,H3581,,E0937X1,,
371,I259,I200,,I25110,,
372,I25810,I201,,I25721,,
373,I259,I208,,I25118,,
374,I25810,I208,,I25718,,
375,I2510,I2585,,I2081,,
376,I639,I6313,,I63139,,
377,E119,I7025,,E1159,,
378,E089,I739,,E0952,,
379,B659,I8500,,I8510,,
380,E089,I998,,E0859,,
381,J42,J988,,J4489,,
382,K7110,K730,,K713,,
383,K769,K759,,k7151,,
384,E119,L921,,E11620,,
385,E119,L97509,,E08621,,
386,M0520,M0590,,M0520,,
387,M0510,M0590,,M0510,,
388,I099,M0590,,M0530,,
389,M0529,M0590,,M0520,,
390,E119,M14671,,E11610,,
391,R809,N046,,N066,,
392,K5130,K51312,,K51312,,
393,D57459,D57454,,D57454,,
394,F0280,F02C2,,F02C2,,
395,D464,D4621,,D4621,,
396,D5720,D57218,,D57218,,
397,A419,T85735,,T85735,,
398,A419,T849,,T849,,
399,J449,J440,,J440,,
400,I70209,I70269,,I70269,,
401,F1110,R448,,F11922,,
402,F1323,R448,,F13232,,
403,F12129,F29,,F12159,,
404,F1220,F10950,,F12250,,
405,F1020,F10950,,F10250,,
406,F1090,F10951,,F10951,,
407,E7800,R739,,E782,,
408,D649,D5521,,D5521,,
409,F1110,R410,,F11921,,
410,F1310,R410,,F13121,,
411,I607,R482,,I69090,,
412,F449,R569,,F445,,
413,A419,R6511,,R6511,,
414,E089,R739,,E0965,,
415,K5100,K625,,K51011,,
416,I25811,I202,,I25762,,
417,E089,H3500,,E09311,,
418,E119,H3500,,E08311,,
419,E119,E133411,,E133411,,
420,E089,E093411,,E093411,,
421,E119,E083419,,E083419,,
422,F0390,F03C18,,F03C18,,
423,E139,E13622,,E13622,,
424,Q0700,Q0701,,Q0701,,
425,E089,A400,,E083552,,
426,E119,A400,,E093552,,
427,E119,M3215,,E133551,,
428,E139,M3214,,E133551,,
429,E089,E093551,,E093551,,
430,E119,E083559,,E083559,,
431,A419,A400,,A400,,
432,A419,M3215,,A400,,
433,N12,M3214,,M3215,,
434,N059,M3214,,M3214,,
435,E119,T8610,,E1129,,
436,E119,T86829,,E11628,,
